;Intermet;RW_gauge;RW_cml;RW_gauge_cml;dwd;dwd_pws;dwd_pws_cml
2021-07-13 09:00:00;0.1;0.0;0.0;0.0;0.0;0.1;0.1
2021-07-13 10:00:00;0.5;0.0;0.0;0.0;0.3;0.2;0.3
2021-07-13 11:00:00;0.2;0.0;0.0;0.0;0.2;0.1;0.1
2021-07-13 12:00:00;0.0;0.0;0.0;0.0;0.1;0.0;0.0
2021-07-13 13:00:00;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2021-07-13 14:00:00;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2021-07-13 15:00:00;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2021-07-13 16:00:00;0.0;0.0;0.0;0.0;0.4;0.0;0.0
2021-07-13 17:00:00;0.1;0.0;0.0;0.0;0.2;0.0;0.0
2021-07-13 18:00:00;0.0;0.0;0.0;0.0;0.1;0.0;0.0
2021-07-13 19:00:00;0.0;0.0;0.0;0.0;0.2;0.0;0.0
2021-07-13 20:00:00;4.5;0.0;0.0;0.0;5.6;2.9;2.9
2021-07-13 21:00:00;6.0;1.1;1.2;1.2;2.8;5.4;5.4
2021-07-13 22:00:00;0.0;4.7;6.3;6.4;3.9;0.0;0.0
2021-07-13 23:00:00;0.0;0.0;0.0;0.0;0.2;0.0;0.0
2021-07-14 00:00:00;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2021-07-14 01:00:00;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2021-07-14 02:00:00;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2021-07-14 03:00:00;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2021-07-14 04:00:00;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2021-07-14 05:00:00;0.0;0.0;0.0;0.0;0.1;0.0;0.0
2021-07-14 06:00:00;0.0;0.0;0.0;0.0;0.2;0.0;0.0
2021-07-14 07:00:00;0.4;0.0;0.0;0.0;0.7;0.2;0.2
2021-07-14 08:00:00;1.8;0.2;0.4;0.5;1.6;1.3;1.3
2021-07-14 09:00:00;2.9;0.4;0.7;0.7;3.6;1.3;1.4
2021-07-14 10:00:00;2.1;1.1;0.7;0.7;2.9;2.0;2.0
2021-07-14 11:00:00;6.1;0.4;0.9;0.9;3.9;4.1;4.1
2021-07-14 12:00:00;9.4;2.3;2.7;2.3;9.5;12.0;12.0
2021-07-14 13:00:00;8.9;10.7;11.2;11.6;8.9;11.2;11.2
2021-07-14 14:00:00;9.8;9.5;9.9;9.7;7.7;7.8;7.7
2021-07-14 15:00:00;13.5;8.0;10.2;10.1;9.1;13.9;13.8
2021-07-14 16:00:00;11.5;8.2;13.8;13.3;8.5;12.7;12.6
2021-07-14 17:00:00;17.8;8.5;11.7;11.6;9.8;31.0;30.7
2021-07-14 18:00:00;16.3;13.7;19.7;18.0;8.9;28.3;27.9
2021-07-14 19:00:00;18.5;11.6;17.9;17.9;8.5;19.6;16.5
2021-07-14 20:00:00;13.6;10.3;18.2;16.2;14.6;10.2;2.2
2021-07-14 21:00:00;3.9;9.7;11.4;10.3;3.7;3.1;1.8
2021-07-14 22:00:00;0.0;4.6;4.8;4.7;0.3;0.1;0.0
2021-07-14 23:00:00;0.0;0.1;0.0;0.0;0.1;0.0;0.0
2021-07-15 00:00:00;0.0;0.0;0.0;0.0;0.1;0.1;0.1
2021-07-15 01:00:00;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2021-07-15 02:00:00;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2021-07-15 03:00:00;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2021-07-15 04:00:00;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2021-07-15 05:00:00;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2021-07-15 06:00:00;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2021-07-15 07:00:00;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2021-07-15 08:00:00;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2021-07-15 09:00:00;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2021-07-15 10:00:00;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2021-07-15 11:00:00;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2021-07-15 12:00:00;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2021-07-15 13:00:00;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2021-07-15 14:00:00;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2021-07-15 15:00:00;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2021-07-15 16:00:00;0.0;0.0;0.0;0.0;0.2;0.1;0.1
2021-07-15 17:00:00;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2021-07-15 18:00:00;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2021-07-15 19:00:00;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2021-07-15 20:00:00;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2021-07-15 21:00:00;0.0;0.0;0.0;0.0;0.0;0.1;0.1
2021-07-15 22:00:00;0.7;0.0;0.0;0.0;0.1;1.0;1.0
2021-07-15 23:00:00;0.0;0.0;0.0;0.0;0.1;0.2;0.3
2021-07-16 00:00:00;0.0;0.0;0.0;0.1;0.0;0.0;0.1
2021-07-16 01:00:00;0.2;0.0;0.0;0.0;0.4;0.4;0.3
2021-07-16 02:00:00;0.0;0.0;0.0;0.0;0.1;0.1;0.1
2021-07-16 03:00:00;0.2;0.0;0.0;0.0;0.0;0.1;0.1
2021-07-16 04:00:00;0.1;0.0;0.0;0.0;0.0;0.1;0.2
2021-07-16 05:00:00;0.0;0.0;0.0;0.0;0.0;0.1;0.2
2021-07-16 06:00:00;0.3;0.0;0.0;0.0;0.1;0.6;0.7
2021-07-16 07:00:00;0.1;0.0;0.0;0.0;0.1;0.2;0.3
2021-07-16 08:00:00;0.0;0.0;0.0;0.0;0.0;0.1;0.1
